messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 지금 몇 시야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 지금 몇 시야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 미세먼지 농도 어때?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 미세먼지 농도 어때""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 타이머 3분 설정해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 타이머 3분 설정해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 메모장 열어줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 메모장 열어줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 장바구니에 우유 추가해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 장바구니에 우유 추가해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 가까운 약국이 어디 있어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 가까운 약국이 어디 있어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 여기서 강남역까지 얼마나 걸려?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 여기서 강남역까지 얼마나 걸려""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 버스 도착 정보 알려줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 버스 도착 정보 알려줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 야구 경기 결과 어떻게 됐어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 야구 경기 결과 어떻게 됐어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 환율 조회해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 환율 조회해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 블루투스 연결해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 블루투스 연결해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와이파이 신호가 약한 것 같아.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.2,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와이파이 신호가 약한 것 같아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 잠깐 멈춰봐.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""p_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 잠깐 멈춰봐""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""p_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 다시 재생해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 다시 재생해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 다음 곡으로 넘겨줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 다음 곡으로 넘겨줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 시스템 업데이트 확인해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 시스템 업데이트 확인해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 화면 밝기 좀 조절해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 화면 밝기 좀 조절해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 날짜가 며칠이지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 날짜가 며칠이지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 내일 비 온다고 했어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 내일 비 온다고 했어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우산 챙겨야겠다.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우산 챙겨야겠다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 차 키를 어디에 뒀더라.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 차 키를 어디에 뒀더라""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 리모컨 여기 있네.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 리모컨 여기 있네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 식탁 위에 올려뒀어.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""s_01\""\n}""}]"
