messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 엄마야! 깜짝이야!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 헉 컵 깨졌다 안 다쳤어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 헉 컵 깨졌다 안 다쳤어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 말도 안 돼. 내가 합격이라고?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 말도 안 돼. 내가 합격이라고?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 말도 안 돼 내가 합격이라고""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 1,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 말도 안 돼 내가 합격이라고""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 1, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디야, 저거 봐! 유성우야!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 저거 봐! 유성우야!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디야 저거 봐 유성우야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 저거 봐 유성우야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 우와! 누가 내 생일 파티를 준비한 거야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우와! 누가 내 생일 파티를 준비한 거야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 우와 누가 내 생일 파티를 준비한 거야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 1,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우와 누가 내 생일 파티를 준비한 거야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 1, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어머, 얘 좀 봐. 벌써 걷네?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어머, 얘 좀 봐. 벌써 걷네?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어머 얘 좀 봐 벌써 걷네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어머 얘 좀 봐 벌써 걷네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 맙소사, 이게 얼마 만이야!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 1,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 맙소사, 이게 얼마 만이야!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 1, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 맙소사 이게 얼마 만이야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 1,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 맙소사 이게 얼마 만이야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 1, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 뭐라고? 그게 진짜 사실이야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 뭐라고? 그게 진짜 사실이야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 뭐라고 그게 진짜 사실이야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 뭐라고 그게 진짜 사실이야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 5, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 으악! 벌레다!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으악! 벌레다!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_04\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 으악 벌레다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으악 벌레다""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디, 너 방금 나한테 말대꾸한 거야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디, 너 방금 나한테 말대꾸한 거야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디 너 방금 나한테 말대꾸한 거야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디 너 방금 나한테 말대꾸한 거야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.1, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 와, 대박! 냄새 진짜 좋다! 이게 무슨 요리야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와, 대박! 냄새 진짜 좋다! 이게 무슨 요리야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 와 대박 냄새 진짜 좋다 이게 무슨 요리야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와 대박 냄새 진짜 좋다 이게 무슨 요리야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어? 안돼! 내 지갑이 어디 갔지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어? 안돼! 내 지갑이 어디 갔지?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.2, \""ethogram\"": \""v_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어 안돼 내 지갑이 어디 갔지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어 안돼 내 지갑이 어디 갔지""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 세상에나, 복권 당첨됐어!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 세상에나, 복권 당첨됐어!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 세상에나 복권 당첨됐어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
